date,country,D,H,I,M,S
2021-04-02,Afghanistan,0,37,0,0,0
2021-04-02,Japan,0,121,0,0,0
2021-04-02,Sweden,0,9,0,0,0
2021-04-03,Afghanistan,0,29,8,0,0
2021-04-03,Japan,0,102,19,0,0
2021-04-03,Sweden,0,7,2,0,0
2021-04-04,Afghanistan,0,27,10,0,0
2021-04-04,Japan,0,73,48,0,0
2021-04-04,Sweden,0,5,4,0,0
2021-04-05,Afghanistan,0,24,13,0,0
2021-04-05,Japan,0,58,63,0,0
2021-04-05,Sweden,0,5,4,0,0
2021-04-06,Afghanistan,0,20,17,0,0
2021-04-06,Japan,0,44,77,0,0
2021-04-06,Sweden,0,5,4,0,0
2021-04-07,Afghanistan,0,20,9,6,2
2021-04-07,Japan,0,32,70,6,13
2021-04-07,Sweden,0,4,3,0,2
2021-04-08,Afghanistan,0,19,8,8,2
2021-04-08,Japan,0,21,52,23,25
2021-04-08,Sweden,0,3,2,0,4
2021-04-09,Afghanistan,0,17,7,10,3
2021-04-09,Japan,0,16,42,29,34
2021-04-09,Sweden,0,0,5,0,4
2021-04-10,Afghanistan,0,15,5,11,6
2021-04-10,Japan,0,11,33,37,40
2021-04-10,Sweden,0,0,5,0,4
2021-04-11,Afghanistan,0,14,6,11,6
2021-04-11,Japan,0,8,24,44,45
2021-04-11,Sweden,0,0,4,0,5
2021-04-12,Afghanistan,0,13,6,12,6
2021-04-12,Japan,0,7,14,48,52
2021-04-12,Sweden,0,0,3,1,5
2021-04-13,Afghanistan,0,9,8,13,7
2021-04-13,Japan,0,6,10,51,54
2021-04-13,Sweden,0,0,0,3,6
2021-04-14,Afghanistan,0,6,9,14,8
2021-04-14,Japan,0,6,5,53,57
2021-04-14,Sweden,0,0,0,3,6
2021-04-15,Afghanistan,0,4,10,15,8
2021-04-15,Japan,0,6,2,54,59
2021-04-15,Sweden,0,0,0,3,6
2021-04-16,Afghanistan,0,4,9,15,9
2021-04-16,Japan,0,6,1,54,60
2021-04-16,Sweden,0,0,0,3,6
2021-04-17,Afghanistan,0,4,5,18,10
2021-04-17,Japan,0,5,1,54,61
2021-04-17,Sweden,0,0,0,3,6
2021-04-18,Afghanistan,0,3,3,19,12
2021-04-18,Japan,0,4,2,54,61
2021-04-18,Sweden,0,0,0,3,6
2021-04-19,Afghanistan,0,3,1,21,12
2021-04-19,Japan,0,4,2,54,61
2021-04-19,Sweden,0,0,0,3,6
2021-04-20,Afghanistan,0,3,1,21,12
2021-04-20,Japan,0,3,3,54,61
2021-04-20,Sweden,0,0,0,3,6
2021-04-21,Afghanistan,0,3,1,23,10
2021-04-21,Japan,3,3,2,65,48
2021-04-21,Sweden,0,0,0,5,4
2021-04-22,Afghanistan,0,3,0,24,10
2021-04-22,Japan,5,3,1,75,37
2021-04-22,Sweden,0,0,0,7,2
2021-04-23,Afghanistan,1,3,0,24,9
2021-04-23,Japan,7,3,1,82,28
2021-04-23,Sweden,0,0,0,7,2
2021-04-24,Afghanistan,1,3,0,27,6
2021-04-24,Japan,8,3,0,88,22
2021-04-24,Sweden,0,0,0,7,2
2021-04-25,Afghanistan,1,3,0,27,6
2021-04-25,Japan,10,3,0,91,17
2021-04-25,Sweden,0,0,0,8,1
2021-04-26,Afghanistan,1,2,1,27,6
2021-04-26,Japan,12,3,0,96,10
2021-04-26,Sweden,0,0,0,8,1
2021-04-27,Afghanistan,2,2,1,27,5
2021-04-27,Japan,13,3,0,97,8
2021-04-27,Sweden,1,0,0,8,0
2021-04-28,Afghanistan,2,2,1,28,4
2021-04-28,Japan,13,3,0,100,5
2021-04-28,Sweden,1,0,0,8,0
2021-04-29,Afghanistan,2,1,2,28,4
2021-04-29,Japan,13,2,1,102,3
2021-04-29,Sweden,1,0,0,8,0
2021-04-30,Afghanistan,2,0,2,30,3
2021-04-30,Japan,13,2,1,103,2
2021-04-30,Sweden,1,0,0,8,0
2021-05-01,Afghanistan,2,0,2,31,2
2021-05-01,Japan,13,2,1,104,1
2021-05-01,Sweden,1,0,0,8,0
2021-05-02,Afghanistan,2,0,2,33,0
2021-05-02,Japan,13,2,1,104,1
2021-05-02,Sweden,1,0,0,8,0
2021-05-03,Afghanistan,2,0,1,33,1
2021-05-03,Japan,13,2,0,104,2
2021-05-03,Sweden,1,0,0,8,0
2021-05-04,Afghanistan,2,0,0,33,2
2021-05-04,Japan,13,2,0,104,2
2021-05-04,Sweden,1,0,0,8,0
2021-05-05,Afghanistan,2,0,0,33,2
2021-05-05,Japan,13,1,1,104,2
2021-05-05,Sweden,1,0,0,8,0
2021-05-06,Afghanistan,2,0,0,33,2
2021-05-06,Japan,13,1,1,105,1
2021-05-06,Sweden,1,0,0,8,0
2021-05-07,Afghanistan,2,0,0,33,2
2021-05-07,Japan,13,1,1,105,1
2021-05-07,Sweden,1,0,0,8,0
2021-05-08,Afghanistan,2,0,0,33,2
2021-05-08,Japan,13,1,1,105,1
2021-05-08,Sweden,1,0,0,8,0
2021-05-09,Afghanistan,2,0,0,33,2
2021-05-09,Japan,13,1,0,106,1
2021-05-09,Sweden,1,0,0,8,0
2021-05-10,Afghanistan,2,0,0,33,2
2021-05-10,Japan,13,1,0,106,1
2021-05-10,Sweden,1,0,0,8,0
2021-05-11,Afghanistan,2,0,0,33,2
2021-05-11,Japan,13,1,0,106,1
2021-05-11,Sweden,1,0,0,8,0
2021-05-12,Afghanistan,2,0,0,33,2
2021-05-12,Japan,13,1,0,106,1
2021-05-12,Sweden,1,0,0,8,0
2021-05-13,Afghanistan,2,0,0,33,2
2021-05-13,Japan,13,1,0,106,1
2021-05-13,Sweden,1,0,0,8,0
2021-05-14,Afghanistan,2,0,0,33,2
2021-05-14,Japan,13,1,0,106,1
2021-05-14,Sweden,1,0,0,8,0
2021-05-15,Afghanistan,2,0,0,33,2
2021-05-15,Japan,13,1,0,106,1
2021-05-15,Sweden,1,0,0,8,0
2021-05-16,Afghanistan,2,0,0,33,2
2021-05-16,Japan,13,1,0,106,1
2021-05-16,Sweden,1,0,0,8,0
2021-05-17,Afghanistan,2,0,0,34,1
2021-05-17,Japan,13,1,0,107,0
2021-05-17,Sweden,1,0,0,8,0
2021-05-18,Afghanistan,2,0,0,35,0
2021-05-18,Japan,13,1,0,107,0
2021-05-18,Sweden,1,0,0,8,0
2021-05-19,Afghanistan,2,0,0,35,0
2021-05-19,Japan,13,1,0,107,0
2021-05-19,Sweden,1,0,0,8,0
2021-05-20,Afghanistan,2,0,0,35,0
2021-05-20,Japan,13,1,0,107,0
2021-05-20,Sweden,1,0,0,8,0
2021-05-21,Afghanistan,2,0,0,35,0
2021-05-21,Japan,13,1,0,107,0
2021-05-21,Sweden,1,0,0,8,0
2021-05-22,Afghanistan,2,0,0,35,0
2021-05-22,Japan,13,0,1,107,0
2021-05-22,Sweden,1,0,0,8,0
2021-05-23,Afghanistan,2,0,0,35,0
2021-05-23,Japan,13,0,1,107,0
2021-05-23,Sweden,1,0,0,8,0
2021-05-24,Afghanistan,2,0,0,35,0
2021-05-24,Japan,13,0,1,107,0
2021-05-24,Sweden,1,0,0,8,0
2021-05-25,Afghanistan,2,0,0,35,0
2021-05-25,Japan,13,0,1,107,0
2021-05-25,Sweden,1,0,0,8,0
2021-05-26,Afghanistan,2,0,0,35,0
2021-05-26,Japan,13,0,0,108,0
2021-05-26,Sweden,1,0,0,8,0
2021-05-27,Afghanistan,2,0,0,35,0
2021-05-27,Japan,13,0,0,108,0
2021-05-27,Sweden,1,0,0,8,0
2021-05-28,Afghanistan,2,0,0,35,0
2021-05-28,Japan,13,0,0,108,0
2021-05-28,Sweden,1,0,0,8,0
2021-05-29,Afghanistan,2,0,0,35,0
2021-05-29,Japan,13,0,0,108,0
2021-05-29,Sweden,1,0,0,8,0
2021-05-30,Afghanistan,2,0,0,35,0
2021-05-30,Japan,13,0,0,108,0
2021-05-30,Sweden,1,0,0,8,0
2021-05-31,Afghanistan,2,0,0,35,0
2021-05-31,Japan,13,0,0,108,0
2021-05-31,Sweden,1,0,0,8,0
2021-06-01,Afghanistan,2,0,0,35,0
2021-06-01,Japan,13,0,0,108,0
2021-06-01,Sweden,1,0,0,8,0
2021-06-02,Afghanistan,2,0,0,35,0
2021-06-02,Japan,13,0,0,108,0
2021-06-02,Sweden,1,0,0,8,0
2021-06-03,Afghanistan,2,0,0,35,0
2021-06-03,Japan,13,0,0,108,0
2021-06-03,Sweden,1,0,0,8,0
2021-06-04,Afghanistan,2,0,0,35,0
2021-06-04,Japan,13,0,0,108,0
2021-06-04,Sweden,1,0,0,8,0
2021-06-05,Afghanistan,2,0,0,35,0
2021-06-05,Japan,13,0,0,108,0
2021-06-05,Sweden,1,0,0,8,0
2021-06-06,Afghanistan,2,0,0,35,0
2021-06-06,Japan,13,0,0,108,0
2021-06-06,Sweden,1,0,0,8,0
2021-06-07,Afghanistan,2,0,0,35,0
2021-06-07,Japan,13,0,0,108,0
2021-06-07,Sweden,1,0,0,8,0
2021-06-08,Afghanistan,2,0,0,35,0
2021-06-08,Japan,13,0,0,108,0
2021-06-08,Sweden,1,0,0,8,0
2021-06-09,Afghanistan,2,0,0,35,0
2021-06-09,Japan,13,0,0,108,0
2021-06-09,Sweden,1,0,0,8,0
2021-06-10,Afghanistan,2,0,0,35,0
2021-06-10,Japan,13,0,0,108,0
2021-06-10,Sweden,1,0,0,8,0
2021-06-11,Afghanistan,2,0,0,35,0
2021-06-11,Japan,13,0,0,108,0
2021-06-11,Sweden,1,0,0,8,0
2021-06-12,Afghanistan,2,0,0,35,0
2021-06-12,Japan,13,0,0,108,0
2021-06-12,Sweden,1,0,0,8,0
2021-06-13,Afghanistan,2,0,0,35,0
2021-06-13,Japan,13,0,0,108,0
2021-06-13,Sweden,1,0,0,8,0
2021-06-14,Afghanistan,2,0,0,35,0
2021-06-14,Japan,13,0,0,108,0
2021-06-14,Sweden,1,0,0,8,0
2021-06-15,Afghanistan,2,0,0,35,0
2021-06-15,Japan,13,0,0,108,0
2021-06-15,Sweden,1,0,0,8,0
2021-06-16,Afghanistan,2,0,0,35,0
2021-06-16,Japan,13,0,0,108,0
2021-06-16,Sweden,1,0,0,8,0
2021-06-17,Afghanistan,2,0,0,35,0
2021-06-17,Japan,13,0,0,108,0
2021-06-17,Sweden,1,0,0,8,0
2021-06-18,Afghanistan,2,0,0,35,0
2021-06-18,Japan,13,0,0,108,0
2021-06-18,Sweden,1,0,0,8,0
2021-06-19,Afghanistan,2,0,0,35,0
2021-06-19,Japan,13,0,0,108,0
2021-06-19,Sweden,1,0,0,8,0
2021-06-20,Afghanistan,2,0,0,35,0
2021-06-20,Japan,13,0,0,108,0
2021-06-20,Sweden,1,0,0,8,0
2021-06-21,Afghanistan,2,0,0,35,0
2021-06-21,Japan,13,0,0,108,0
2021-06-21,Sweden,1,0,0,8,0
2021-06-22,Afghanistan,2,0,0,35,0
2021-06-22,Japan,13,0,0,108,0
2021-06-22,Sweden,1,0,0,8,0
2021-06-23,Afghanistan,2,0,0,35,0
2021-06-23,Japan,13,0,0,108,0
2021-06-23,Sweden,1,0,0,8,0
2021-06-24,Afghanistan,2,0,0,35,0
2021-06-24,Japan,13,0,0,108,0
2021-06-24,Sweden,1,0,0,8,0
2021-06-25,Afghanistan,2,0,0,35,0
2021-06-25,Japan,13,0,0,108,0
2021-06-25,Sweden,1,0,0,8,0
2021-06-26,Afghanistan,2,0,0,35,0
2021-06-26,Japan,13,0,0,108,0
2021-06-26,Sweden,1,0,0,8,0
2021-06-27,Afghanistan,2,0,0,35,0
2021-06-27,Japan,13,0,0,108,0
2021-06-27,Sweden,1,0,0,8,0
2021-06-28,Afghanistan,2,0,0,35,0
2021-06-28,Japan,13,0,0,108,0
2021-06-28,Sweden,1,0,0,8,0
2021-06-29,Afghanistan,2,0,0,35,0
2021-06-29,Japan,13,0,0,108,0
2021-06-29,Sweden,1,0,0,8,0
2021-06-30,Afghanistan,2,0,0,35,0
2021-06-30,Japan,13,0,0,108,0
2021-06-30,Sweden,1,0,0,8,0
2021-07-01,Afghanistan,2,0,0,35,0
2021-07-01,Japan,13,0,0,108,0
2021-07-01,Sweden,1,0,0,8,0
2021-07-02,Afghanistan,2,0,0,35,0
2021-07-02,Japan,13,0,0,108,0
2021-07-02,Sweden,1,0,0,8,0
2021-07-03,Afghanistan,2,0,0,35,0
2021-07-03,Japan,13,0,0,108,0
2021-07-03,Sweden,1,0,0,8,0
2021-07-04,Afghanistan,2,0,0,35,0
2021-07-04,Japan,13,0,0,108,0
2021-07-04,Sweden,1,0,0,8,0
